Date,score
2010-03-30,77.9479276584015
2010-03-31,71.76870533885574
2010-04-01,72.33981120315738
2010-04-02,71.77990771234765
2010-04-05,79.6459138940999
2010-04-06,78.53857718550707
2010-04-07,67.17160694570073
2010-04-08,69.5955056188685
2010-04-09,69.12099483328178
2010-04-12,67.75140837518946
2010-04-13,66.22450035695363
2010-04-14,70.61917957902195
2010-04-15,69.41350601784113
2010-04-16,61.42910237682801
2010-04-19,66.02815494039713
2010-04-20,69.64848362491016
2010-04-21,62.615520469318
2010-04-22,65.6140838954229
2010-04-23,67.05106875246969
2010-04-26,64.40535279197265
2010-04-27,45.38842349052118
2010-04-28,50.732404321441095
2010-04-29,52.918636226461715
2010-04-30,41.51577442423685
2010-05-03,46.40428681075305
2010-05-04,35.51594787186783
2010-05-06,10.051822511072402
2010-05-07,7.857005987392956
2010-05-10,23.714024972981797
2010-05-11,22.404462702236806
2010-05-12,25.892312188813655
2010-05-13,25.451526351687587
2010-05-14,14.987523988332367
2010-05-17,15.753356402683924
2010-05-18,12.19940118124227
2010-05-19,11.836333003904558
2010-05-20,4.342143374900023
2010-05-24,5.465472742241663
2010-05-25,6.952201464860249
2010-05-26,7.087942585733307
2010-05-27,19.145482517935456
2010-05-28,17.593276241052592
2010-05-31,19.600322229171947
2010-06-01,14.394346398840945
2010-06-03,27.572647942121637
2010-06-04,16.45818797766521
2010-06-07,15.396097199846574
2010-06-08,20.248503383598393
2010-06-09,20.420801114834163
2010-06-10,29.241490103602228
2010-06-11,30.094086581543273
2010-06-14,31.18707958272469
2010-06-15,34.904657023985465
2010-06-16,37.958265632731624
2010-06-17,36.5216968195577
2010-06-18,38.60248029720741
2010-06-21,42.65742219201838
2010-06-22,37.93473719013126
2010-06-23,39.64664732572183
2010-06-24,41.42379645300874
2010-06-25,39.670339609511004
2010-06-28,38.77041442144639
2010-06-29,30.356257491869094
2010-06-30,29.302930857302556
2010-07-01,29.33791693730843
2010-07-02,29.837629279990278
2010-07-05,31.715421671166734
2010-07-06,33.11527386279941
2010-07-07,36.02060785340019
2010-07-08,40.2386383013987
2010-07-09,42.65294170503011
2010-07-12,43.996174888097194
2010-07-13,45.08648050658255
2010-07-14,45.96307044467556
2010-07-15,44.18469414183339
2010-07-16,41.13969412538985
2010-07-19,40.41863520474576
2010-07-20,42.25538287700786
2010-07-21,41.95230901521664
2010-07-22,41.941484832964086
2010-07-23,46.98710562826146
2010-07-26,48.48714627958915
2010-07-27,50.834270177763116
2010-07-28,50.059283828677366
2010-07-29,49.78059793637101
2010-07-30,47.95898590597099
2010-08-02,52.222889999272944
2010-08-03,50.9898269283709
2010-08-04,51.858551404726676
2010-08-05,49.71688006195479
2010-08-06,47.50450913022553
2010-08-09,47.955438106424666
2010-08-10,46.37407790995239
2010-08-11,38.89360975807607
2010-08-12,34.478098162974774
2010-08-13,37.05240230196764
2010-08-16,35.77528372502846
2010-08-17,39.290196318012114
2010-08-18,39.513323617989286
2010-08-19,39.56440785099587
2010-08-20,39.22945953796581
2010-08-23,37.69949448504627
2010-08-24,34.14334793890209
2010-08-25,31.830106494653222
2010-08-26,30.7108520350495
2010-08-27,35.09715834672323
2010-08-30,34.593302163419736
2010-08-31,32.06168160012405
2010-09-01,38.590242753960794
2010-09-02,41.26495464128781
2010-09-03,44.30899648731462
2010-09-06,45.4125316543883
2010-09-07,42.20055819419289
2010-09-08,43.38434042876683
2010-09-09,47.3159425183405
2010-09-10,48.801628775334535
2010-09-13,50.23806559295745
2010-09-14,47.48077289428345
2010-09-15,48.28195461362589
2010-09-16,46.366293812316464
2010-09-17,47.75637160253877
2010-09-20,49.00163334563853
2010-09-24,48.736691800128526
2010-09-27,49.1349252880767
2010-09-28,48.129081906844355
2010-09-29,48.80803537941188
2010-09-30,47.35355097035084
2010-10-01,49.04349928711304
2010-10-04,46.83189237430567
2010-10-05,47.47771796599599
2010-10-06,47.76261361711425
2010-10-07,47.25743861726721
2010-10-08,47.39763946324556
2010-10-11,47.784130549641304
2010-10-12,45.848274144512665
2010-10-13,45.51011754749267
2010-10-14,47.049223519281796
2010-10-15,48.938086068663
2010-10-18,45.125604571276796
2010-10-19,43.251494185093414
2010-10-20,44.82063808717601
2010-10-21,46.678416030042484
2010-10-22,49.35461363238346
2010-10-25,48.92793124960808
2010-10-26,49.65636093840495
2010-10-27,48.73474687673705
2010-10-28,47.08506060319292
2010-10-29,42.99147872121183
2010-11-01,46.61563549030333
2010-11-02,47.138138667078756
2010-11-03,49.284401867397506
2010-11-04,48.7103431082315
2010-11-05,48.646056437165655
2010-11-08,49.235078840792085
2010-11-09,49.95203531046842
2010-11-10,51.37554291190535
2010-11-11,43.74867325416905
2010-11-12,43.76430254218801
