Date,score
2010-03-31,72.55701545407503
2010-04-01,73.05326534201252
2010-04-02,72.44543022683932
2010-04-05,80.12605298570541
2010-04-06,79.07864197250706
2010-04-07,67.63700645939376
2010-04-08,70.04035709404947
2010-04-09,69.55007350399347
2010-04-12,68.1974611476606
2010-04-13,66.69473992238049
2010-04-14,71.07487896475072
2010-04-15,69.8477384559702
2010-04-16,61.87137701909365
2010-04-19,66.46102551246281
2010-04-20,70.0980748053373
2010-04-21,63.05232769577595
2010-04-22,66.03304629499559
2010-04-23,67.41813248206984
2010-04-26,64.74178745760129
2010-04-27,41.80432642840552
2010-04-28,47.13734052871296
2010-04-30,39.18198972569952
2010-05-06,8.104431692876217
2010-05-07,6.004188710004468
2010-05-10,21.436759807578657
2010-05-11,19.08345984142956
2010-05-12,23.69926737220142
2010-05-13,24.181227132515787
2010-05-14,13.018504300296179
2010-05-17,14.845248318640387
2010-05-18,10.179540482813755
2010-05-19,10.600037270859614
2010-05-20,5.788146371423183
2010-05-21,8.812494258525085
2010-05-24,7.116674509305522
2010-05-25,7.764090844585066
2010-05-26,8.981363728785594
2010-05-27,20.452307867017613
2010-05-28,17.037217069335735
2010-05-31,17.734905030250818
2010-06-01,14.89919736607268
2010-06-02,21.421706662440048
2010-06-03,28.066962843007765
2010-06-04,18.8198994260525
2010-06-07,13.72679395079318
2010-06-08,17.067513439041235
2010-06-09,18.475668878984855
2010-06-10,25.870544464705077
2010-06-11,26.867136137325122
2010-06-14,31.02690004713555
2010-06-15,34.714185423147285
2010-06-16,35.94287207704122
2010-06-17,34.47752301560201
2010-06-18,37.072012865001156
2010-06-21,39.636381570482776
2010-06-22,37.036615954594296
2010-06-23,34.95004382521157
2010-06-24,31.04819584785739
2010-06-25,29.727953626234328
2010-06-28,29.575981026173583
2010-06-29,23.76384961375377
2010-06-30,22.00234675228705
2010-07-01,21.309153626904155
2010-07-02,23.74561692249015
2010-07-05,26.788905961644844
2010-07-06,28.436034579142664
2010-07-07,32.1527506589689
2010-07-08,36.10458944914251
2010-07-09,36.50976365084573
2010-07-12,36.06694654726256
2010-07-13,36.94791076805527
2010-07-14,38.09881341547457
2010-07-15,36.50373475871521
2010-07-16,32.388014952202596
2010-07-21,30.030873342834674
2010-07-22,32.23942466758427
2010-07-23,37.480231758682905
2010-07-26,39.41065052573873
2010-07-27,41.83544114069513
2010-07-28,43.31931843077649
2010-07-29,42.96942981096688
2010-07-30,41.27891350673531
2010-08-02,45.27976304072132
2010-08-03,45.440162766051444
2010-08-04,43.57196616901231
2010-08-05,44.4493248708351
2010-08-06,43.564488825039426
2010-08-09,41.608328078363755
2010-08-10,40.62671943062977
2010-08-11,34.26583805578972
2010-08-12,32.9263691030532
2010-08-13,31.30236573826309
2010-08-16,30.136424360265032
2010-08-17,33.74515778323876
2010-08-18,35.354404977067574
2010-08-19,34.5552873409775
2010-08-20,32.503736658888315
2010-08-23,31.334637362017656
2010-08-24,27.43095280285771
2010-08-25,25.451722876074577
2010-08-26,25.856026658002328
2010-08-27,31.55446752941707
2010-08-30,30.01858310551167
2010-08-31,25.867750001224834
2010-09-01,32.01192224383995
2010-09-02,33.728555374378764
2010-09-03,36.90196700932245
2010-09-06,39.35225884647021
2010-09-07,35.724985471210154
2010-09-08,36.345254468967454
2010-09-09,39.333386764470234
2010-09-10,41.83652240350394
2010-09-13,43.69777204438121
2010-09-14,41.936823232690145
2010-09-16,44.48971626279648
2010-09-17,44.615075224497545
2010-09-21,45.02379783276157
2010-09-22,43.702086648265464
2010-09-24,44.880564292411066
2010-09-27,45.92144521815093
2010-09-28,43.659880234873484
2010-09-29,43.68364015708833
2010-09-30,40.34347094539605
2010-10-01,43.60786914759487
2010-10-04,41.41805514260653
2010-10-05,43.23099106576986
2010-10-06,44.18146440385365
2010-10-07,43.34323647662129
2010-10-08,43.153118748435745
2010-10-12,43.82723766722644
2010-10-13,43.06221666138374
2010-10-14,43.70211883582369
2010-10-15,43.72089910757233
2010-10-18,43.52970123637453
2010-10-19,42.418933196573
2010-10-20,40.73116590381666
2010-10-21,42.42336981664048
2010-10-22,43.844199432184766
2010-10-25,43.10084738214361
2010-10-26,42.45468082786208
2010-10-27,43.92241063560899
2010-10-28,42.14374610140138
2010-10-29,40.47369228590232
2010-11-01,39.79675045033411
2010-11-02,40.15359646067136
2010-11-04,42.882288213209804
2010-11-05,44.99925359756428
2010-11-08,46.11986063050633
2010-11-09,45.84985796264234
2010-11-10,49.59239348915974
2010-11-11,49.40146398211162
2010-11-12,47.03227970577218
2010-11-15,49.840448970177206
2010-11-16,47.966639534406646
2010-11-17,48.57262774905972
2010-11-18,54.13661100747693
2010-11-19,54.65268519187524
2010-11-22,54.46093565369872
2010-11-24,53.01541412347583
2010-11-25,53.71264218397355
2010-11-26,50.98196863842686
2010-11-29,52.24049924815571
2010-11-30,48.72459179838795
2010-12-01,53.125884763380135
2010-12-02,57.18485489499352
2010-12-03,56.35848557037674
2010-12-06,53.5153024846579
2010-12-07,54.39141049637991
2010-12-08,57.41823498059888
2010-12-09,57.194859538376775
2010-12-10,57.02319327183502
2010-12-13,58.24493535374334
2010-12-14,58.79705294291231
2010-12-15,59.55011525368407
2010-12-16,60.332257846207746
2010-12-17,58.498016351443724
2010-12-20,57.25645639868619
2010-12-21,58.39720003401577
2010-12-22,59.58505680114773
2010-12-24,58.38419791080156
2010-12-27,58.34160744821563
2010-12-28,57.33286370053711
2010-12-29,57.9172820762724
2010-12-30,56.52735133727325
2011-01-04,58.76149265639784
2011-01-05,60.12427103046711
2011-01-06,61.09531434921405
2011-01-07,60.85110118695692
2011-01-11,59.71075345574069
2011-01-12,60.274094758470596
2011-01-13,60.91586526981632
2011-01-14,61.5149858116021
2011-01-17,61.373833932732985
2011-01-18,61.35798531758057
2011-01-19,60.112924709842616
2011-01-20,60.11320463287078
2011-01-21,58.52984512617475
2011-01-24,59.03370646510558
2011-01-25,60.38019674844249
2011-01-26,61.62908754385073
2011-01-27,62.676580418391566
2011-01-28,57.227181626784464
2011-01-31,56.873891423838664
2011-02-01,60.205464303095695
2011-02-02,62.024424322228946
2011-02-03,61.91070760515207
2011-02-04,63.83785426191089
2011-02-07,64.33451067993352
2011-02-08,65.4850227756856
2011-02-09,64.40720543461033
2011-02-10,64.25642681854924
2011-02-14,65.79097680649804
2011-02-15,65.22907150745573
2011-02-16,65.86733792815414
2011-02-17,65.41179540662424
2011-02-18,66.32554909824496
2011-02-21,67.43407893718567
2011-02-22,59.69761535493789
2011-02-23,56.56325500737754
2011-02-24,55.50363649470451
2011-02-25,57.83272068064688
2011-02-28,60.38319395734061
2011-03-01,59.349502583406114
2011-03-02,56.51918490474982
2011-03-03,60.220182697457744
2011-03-04,59.86798336057443
2011-03-07,55.46413683325127
2011-03-08,57.00560127652268
2011-03-09,56.50730233207256
2011-03-10,52.93528218251921
2011-03-11,52.07062631063195
2011-03-14,42.86659436906878
2011-03-15,32.88009529630968
2011-03-16,30.707002231291074
2011-03-17,32.410940742638786
2011-03-18,35.92538413286597
2011-03-22,43.450999494028125
2011-03-23,43.29883087101967
2011-03-24,45.46467213294467
2011-03-25,48.14835647395292
2011-03-28,46.49527113980083
2011-03-29,47.55628244162279
2011-03-30,49.75407928735278
2011-03-31,50.91123579774833
2011-04-01,50.877052872630415
2011-04-04,50.223400552261424
2011-04-05,49.92813860812846
2011-04-06,50.214641539656306
2011-04-07,49.8475195500274
2011-04-08,51.42559312305409
2011-04-11,52.733690094525755
2011-04-12,53.79600959246149
2011-04-13,61.288727597743616
2011-04-14,57.95398594116415
2011-04-15,57.775898067069264
2011-04-18,53.67677451205117
2011-04-19,50.758073952285855
2011-04-20,55.42673306808058
2011-04-21,56.89174756985898
2011-04-22,56.298724898473004
