Date,score
2010-03-26,77.03904204996157
2010-03-29,77.1460536378598
2010-03-30,78.44545792553413
2010-03-31,72.21670821090369
2010-04-01,72.78364355014844
2010-04-06,80.99127071785583
2010-04-07,68.95423830067936
2010-04-08,71.411707909595
2010-04-09,70.80603838617834
2010-04-12,69.2399873759501
2010-04-13,67.582634306099
2010-04-14,72.07698649351796
2010-04-15,70.7952344375678
2010-04-16,62.56376234856517
2010-04-19,67.24495389611006
2010-04-20,70.82913036472256
2010-04-21,63.57287935205011
2010-04-22,66.64906880369445
2010-04-23,68.17533198223153
2010-04-26,65.49638895257313
2010-04-27,41.44742558035608
2010-04-28,46.15645170895968
2010-04-29,51.111397779608566
2010-04-30,39.05296962709572
2010-05-03,44.20753542593991
2010-05-04,30.75214922114789
2010-05-05,24.895315535685786
2010-05-06,6.11781302405373
2010-05-07,3.180245624328752
2010-05-10,22.645650092406463
2010-05-11,20.645267236672595
2010-05-12,24.928734941002894
2010-05-14,10.537759003876364
2010-05-17,14.560364027811918
2010-05-18,11.315725716831123
2010-05-19,10.081184510516358
2010-05-20,5.674510327153578
2010-05-21,9.924225136943514
2010-05-25,8.090327124565672
2010-05-26,8.541764969539528
2010-05-27,22.447560533560367
2010-05-28,20.165147072342833
2010-05-31,20.155282909891852
2010-06-01,16.15823365033291
2010-06-02,24.10940932055842
2010-06-03,30.235802024883842
2010-06-04,17.63311966086277
2010-06-07,17.133410134629464
2010-06-08,21.392661477907815
2010-06-09,18.717808778113344
2010-06-10,28.697860958995562
2010-06-11,27.82212691957092
2010-06-14,33.69988374928368
2010-06-15,38.21548451106134
2010-06-16,36.61494970304468
2010-06-17,36.60929812565943
2010-06-18,39.148565293766076
2010-06-21,40.611780260324245
2010-06-22,38.294893127529505
2010-06-23,37.443569848132825
2010-06-24,30.862261972281118
2010-06-25,30.970825164932755
2010-06-28,32.21804067421671
2010-06-29,22.921049101699836
2010-06-30,23.24220744678989
2010-07-01,23.287776956208393
2010-07-02,27.16208947218014
2010-07-05,27.53532765798473
2010-07-06,31.701310240011118
2010-07-07,36.75709341678592
2010-07-08,38.879094832591804
2010-07-09,39.63828575836087
2010-07-12,39.77687293695938
2010-07-13,42.17850356352208
2010-07-14,41.623384406410196
2010-07-15,39.13261457681823
2010-07-16,35.276878397672995
2010-07-19,35.471474656730415
2010-07-20,36.58808220406396
2010-07-21,35.99875275759899
2010-07-22,42.28234900841167
2010-07-23,44.96761260600328
2010-07-26,46.335153292016614
2010-07-27,51.18916555337738
2010-07-28,49.20532933425126
2010-07-29,49.29986449285481
2010-07-30,47.54908331026628
2010-08-02,53.66452253973506
2010-08-03,50.793429982694036
2010-08-04,50.506916512263196
2010-08-05,49.132434247916784
2010-08-06,46.05352683283291
2010-08-09,48.173853918678304
2010-08-10,45.5333986498202
2010-08-11,38.40503836631587
2010-08-12,38.307555890521556
2010-08-13,38.170144255631534
2010-08-16,36.702502396526455
2010-08-17,40.927473832049344
2010-08-18,40.23393965385476
2010-08-19,33.95799901656648
2010-08-20,33.70163837618209
2010-08-23,33.84108094941773
2010-08-24,28.653246672271234
2010-08-25,28.476036759873704
2010-08-26,28.91289768678258
2010-08-27,34.0706877207162
2010-08-30,28.98242604289435
2010-08-31,29.172317602020563
2010-09-01,36.926784403216764
2010-09-02,38.19791302511226
2010-09-03,42.82959917738019
2010-09-06,42.33718347951093
2010-09-07,38.651322095127085
2010-09-08,42.42635318552375
2010-09-09,45.47447727654279
2010-09-10,46.85195495884058
2010-09-13,48.755878831385054
2010-09-14,46.23119146648882
2010-09-15,46.367992975301306
2010-09-16,47.34381721070761
2010-09-17,46.39474458395811
2010-09-20,48.757071545158425
